Date,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2021-04-24,31.152733333333334,31.243033333333333,31.5747
2021-04-25,31.170966666666665,31.25476666666667,31.578
2021-04-26,31.1892,31.2665,31.5813
2021-04-27,31.1548,31.2524,31.5903
2021-04-28,31.1368,31.2305,31.5853
2021-04-29,31.011,31.0919,31.4108
2021-04-30,30.9272,31.0208,31.3692
2021-05-01,30.92586,31.02018,31.366419999999998
2021-05-02,30.92452,31.019560000000002,31.36364
2021-05-03,30.92318,31.01894,31.36086
2021-05-04,30.92184,31.018320000000003,31.35808
2021-05-05,30.9205,31.0177,31.3553
2021-05-06,30.9211,31.0172,31.3631
2021-05-07,30.9671,31.0562,31.3828
2021-05-08,30.9284,31.01856666666667,31.346466666666668
2021-05-09,30.889699999999998,30.980933333333333,31.310133333333333
2021-05-10,30.851,30.9433,31.2738
2021-05-11,30.845,30.9369,31.2781
2021-05-12,30.9408,31.0322,31.3748
2021-05-13,31.0445,31.1367,31.4863
2021-05-14,31.0819,31.1756,31.5097
2021-05-15,31.1003,31.194966666666666,31.532433333333334
2021-05-16,31.1187,31.214333333333332,31.555166666666665
2021-05-17,31.1371,31.2337,31.5779
2021-05-18,31.2094,31.3023,31.6282
2021-05-19,31.1655,31.2623,31.6031
2021-05-20,31.138,31.2312,31.5697
2021-05-21,31.1134,31.2074,31.5569
2021-05-22,31.1098,31.205,31.557066666666667
2021-05-23,31.106199999999998,31.2026,31.557233333333333
2021-05-24,31.1026,31.2002,31.5574
2021-05-25,31.0687,31.1623,31.5012
2021-05-26,31.04785,31.1422,31.481
2021-05-27,31.027,31.1221,31.4608
2021-05-28,31.0291,31.1248,31.4719
2021-05-29,31.016666666666666,31.112333333333332,31.460733333333334
2021-05-30,31.004233333333335,31.099866666666667,31.44956666666667
2021-05-31,30.9918,31.0874,31.4384
2021-06-01,30.911,31.0077,31.3563
2021-06-02,30.8901,30.9833,31.343
2021-06-03,30.921950000000002,31.016,31.37855
2021-06-04,30.9538,31.0487,31.4141
2021-06-05,30.946466666666666,31.040566666666667,31.398266666666668
2021-06-06,30.939133333333334,31.032433333333334,31.38243333333333
2021-06-07,30.9318,31.0243,31.3666
2021-06-08,30.9345,31.0287,31.3738
2021-06-09,30.9156,30.9976,31.3233
2021-06-10,30.8867,30.9771,31.316
2021-06-11,30.8293,30.9256,31.2693
2021-06-12,30.832666666666668,30.92823333333333,31.279033333333334
2021-06-13,30.836033333333333,30.930866666666667,31.288766666666668
2021-06-14,30.8394,30.9335,31.2985
2021-06-15,30.8477,30.9422,31.2974
2021-06-16,30.9009,30.9934,31.3555
2021-06-17,31.0622,31.1564,31.4984
2021-06-18,31.1293,31.2264,31.5625
2021-06-19,31.185466666666667,31.281766666666666,31.617866666666668
2021-06-20,31.241633333333333,31.337133333333334,31.673233333333332
2021-06-21,31.2978,31.3925,31.7286
2021-06-22,31.4003,31.498,31.8354
2021-06-23,31.5399,31.6351,31.9636
2021-06-24,31.6319,31.7288,32.0554
2021-06-25,31.5304,31.6254,31.9591
2021-06-26,31.557833333333335,31.653366666666667,31.991466666666664
2021-06-27,31.585266666666666,31.68133333333333,32.02383333333333
2021-06-28,31.6127,31.7093,32.0562
2021-06-29,31.7494,31.8446,32.1928
2021-06-30,31.7875,31.8847,32.2219
2021-07-01,31.7542,31.8507,32.193
2021-07-02,31.9063,32.0028,32.3391
2021-07-03,31.9071,32.0025,32.337266666666665
2021-07-04,31.9079,32.0022,32.335433333333334
2021-07-05,31.9087,32.0019,32.3336
2021-07-06,31.8718,31.9645,32.2953
2021-07-07,32.034,32.13,32.4779
2021-07-08,32.179,32.2742,32.5997
2021-07-09,32.3914,32.4865,32.8155
2021-07-10,32.375099999999996,32.47036666666666,32.805366666666664
2021-07-11,32.3588,32.454233333333335,32.795233333333336
2021-07-12,32.3425,32.4381,32.7851
2021-07-13,32.3613,32.4575,32.8054
2021-07-14,32.3785,32.4729,32.8272
2021-07-15,32.3678,32.4628,32.8076
2021-07-16,32.4695,32.564,32.909
2021-07-17,32.510099999999994,32.60443333333333,32.95133333333333
2021-07-18,32.5507,32.644866666666665,32.99366666666667
2021-07-19,32.5913,32.6853,33.036
2021-07-20,32.562,32.6536,32.9954
2021-07-21,32.5821,32.6737,33.0248
2021-07-22,32.5659,32.6584,33.0169
2021-07-23,32.6494,32.7399,33.1107
2021-07-24,32.64365,32.7348,33.099325
2021-07-25,32.6379,32.729699999999994,33.08795
2021-07-26,32.632149999999996,32.724599999999995,33.076575
2021-07-27,32.6264,32.7195,33.0652
2021-07-28,32.6237,32.71565,33.060249999999996
2021-07-29,32.621,32.7118,33.0553
2021-07-30,32.6203,32.7135,33.09
2021-07-31,32.63576666666667,32.729033333333334,33.09973333333333
2021-08-01,32.65123333333333,32.74456666666667,33.10946666666667
2021-08-02,32.6667,32.7601,33.1192
2021-08-03,32.7058,32.8012,33.1506
2021-08-04,32.8059,32.897,33.2601
2021-08-05,32.8781,32.9705,33.3039
2021-08-06,33.0659,33.1574,33.4957
2021-08-07,33.095733333333335,33.18786666666667,33.53496666666667
2021-08-08,33.125566666666664,33.218333333333334,33.57423333333333
2021-08-09,33.1554,33.2488,33.6135
2021-08-10,33.1888,33.2813,33.6532
2021-08-11,33.138,33.2321,33.5761
2021-08-12,33.04755,33.14205,33.484399999999994
2021-08-13,32.9571,33.052,33.3927
2021-08-14,33.005399999999995,33.100433333333335,33.44603333333333
2021-08-15,33.0537,33.14886666666666,33.49936666666667
2021-08-16,33.102,33.1973,33.5527
2021-08-17,33.1509,33.2447,33.5892
2021-08-18,32.9503,33.0443,33.3844
2021-08-19,33.1245,33.2193,33.559
2021-08-20,33.0719,33.1627,33.5109
2021-08-21,33.065666666666665,33.15756666666667,33.50593333333333
2021-08-22,33.05943333333333,33.152433333333335,33.50096666666667
2021-08-23,33.0532,33.1473,33.496
2021-08-24,32.8801,32.9768,33.3247
2021-08-25,32.5975,32.6894,33.0458
2021-08-26,32.4993,32.5949,32.9441
2021-08-27,32.4677,32.5641,32.907
2021-08-28,32.39973333333334,32.4962,32.83546666666666
2021-08-29,32.33176666666667,32.4283,32.763933333333334
2021-08-30,32.2638,32.3604,32.6924
2021-08-31,32.1264,32.2191,32.5521
2021-09-01,32.0395,32.1349,32.4677
2021-09-02,32.1349,32.2283,32.5577
2021-09-03,32.2384,32.3355,32.6737
2021-09-04,32.2213,32.316766666666666,32.65906666666667
2021-09-05,32.2042,32.298033333333336,32.64443333333333
2021-09-06,32.1871,32.2793,32.6298
2021-09-07,32.2306,32.3252,32.6584
2021-09-08,32.4939,32.5904,32.941
2021-09-09,32.4804,32.5764,32.9189
2021-09-10,32.4394,32.5347,32.8858
2021-09-11,32.46403333333333,32.55786666666667,32.9089
2021-09-12,32.48866666666667,32.58103333333333,32.932
2021-09-13,32.5133,32.6042,32.9551
2021-09-14,32.6423,32.7375,33.0858
2021-09-15,32.6726,32.7647,33.1047
2021-09-16,32.639,32.7336,33.0836
2021-09-17,32.9128,33.0062,33.3457
2021-09-18,32.96966666666666,33.06236666666667,33.410333333333334
2021-09-19,33.02653333333333,33.11853333333333,33.47496666666667
2021-09-20,33.0834,33.1747,33.5396
2021-09-21,33.1377,33.2349,33.5863
2021-09-22,33.1476,33.2439,33.5971
2021-09-23,33.2371,33.3323,33.6865
2021-09-24,33.211425,33.30555,33.6566
2021-09-25,33.18575,33.2788,33.6267
2021-09-26,33.160075,33.25205,33.5968
2021-09-27,33.1344,33.2253,33.5669
2021-09-28,33.3991,33.4926,33.8344
2021-09-29,33.6005,33.6906,34.0433
2021-09-30,33.6589,33.7538,34.0908
2021-10-01,33.4788,33.5723,33.8983
2021-10-02,33.46066666666667,33.55413333333333,33.888866666666665
2021-10-03,33.44253333333333,33.53596666666667,33.87943333333333
2021-10-04,33.4244,33.5178,33.87
2021-10-05,33.5507,33.6448,34.0005
2021-10-06,33.6004,33.6964,34.0374
2021-10-07,33.5487,33.6398,33.9831
2021-10-08,33.5991,33.6969,34.0472
2021-10-09,33.580466666666666,33.67653333333333,34.02256666666666
2021-10-10,33.56183333333333,33.65616666666667,33.997933333333336
